,price_txt,bedrooms_csv,bathrooms_json,sqft_living_xml,max,min,promedio
0,970000.0,4.0,3.25,4740.0,970000.0,3.25,243686.8125
1,985000.0,4.0,2.25,4230.0,985000.0,2.25,247309.0625
2,930000.0,4.0,4.0,6050.0,930000.0,4.0,234014.5
3,863000.0,4.0,2.5,4120.0,863000.0,2.5,216781.625
4,988000.0,4.0,3.0,4040.0,988000.0,3.0,248011.75
5,868700.0,3.0,4.25,3840.0,868700.0,3.0,218136.8125
6,921500.0,4.0,2.5,3670.0,921500.0,2.5,231294.125
7,650000.0,6.0,2.75,3610.0,650000.0,2.75,163404.6875
8,861990.0,5.0,2.75,3595.0,861990.0,2.75,216398.1875
9,515000.0,4.0,3.0,3590.0,515000.0,3.0,129649.25
10,800000.0,3.0,3.5,3830.0,800000.0,3.0,200959.125
11,810000.0,4.0,2.5,3520.0,810000.0,2.5,203381.625
12,780000.0,4.0,2.5,3500.0,780000.0,2.5,195876.625
13,722500.0,5.0,2.5,4870.0,722500.0,2.5,181844.375
14,467000.0,3.0,2.5,3460.0,467000.0,2.5,117616.375
15,720000.0,4.0,2.5,3450.0,720000.0,2.5,180864.125
16,380000.0,5.0,3.0,3450.0,380000.0,3.0,95864.5
17,900000.0,3.0,2.5,3400.0,900000.0,2.5,225851.375
18,859900.0,4.0,2.75,3390.0,859900.0,2.75,215824.1875
19,595000.0,3.0,2.5,3370.0,595000.0,2.5,149593.875
20,879000.0,4.0,2.5,3360.0,879000.0,2.5,220591.625
21,455000.0,4.0,2.5,3360.0,455000.0,2.5,114591.625
22,910000.0,4.0,2.5,3350.0,910000.0,2.5,228339.125
23,971000.0,5.0,3.5,4390.0,971000.0,3.5,243849.625
24,927000.0,4.0,2.75,3300.0,927000.0,2.75,232576.6875
25,785000.0,4.0,2.5,3300.0,785000.0,2.5,197076.625
26,530000.0,3.0,2.5,3660.0,530000.0,2.5,133416.375
27,480000.0,4.0,2.25,3250.0,480000.0,2.25,120814.0625
28,951000.0,5.0,3.25,3250.0,951000.0,3.25,238564.5625
29,730000.0,4.0,2.5,3230.0,730000.0,2.5,183309.125
30,737500.0,4.0,2.5,3200.0,737500.0,2.5,185176.625
31,720000.0,4.0,4.0,3200.0,720000.0,4.0,180802.0
32,609900.0,4.0,2.5,3190.0,609900.0,2.5,153274.125
33,890000.0,4.0,3.25,3180.0,890000.0,3.25,223296.8125
34,900000.0,3.0,2.5,3180.0,900000.0,2.5,225796.375
35,650000.0,4.0,2.5,3180.0,650000.0,2.5,163296.625
36,488000.0,3.0,2.5,3160.0,488000.0,2.5,122791.375
37,819900.0,5.0,2.75,3150.0,819900.0,2.75,205764.4375
38,680000.0,4.0,2.5,3140.0,680000.0,2.5,170786.625
39,851000.0,4.0,2.5,3130.0,851000.0,2.5,213534.125
40,843000.0,3.0,2.5,3130.0,843000.0,2.5,211533.875
41,860000.0,3.0,2.25,3060.0,860000.0,2.25,215766.3125
42,650000.0,4.0,2.5,3040.0,650000.0,2.5,163261.625
43,274975.0,3.0,2.5,3030.0,274975.0,2.5,69502.625
44,950000.0,3.0,3.0,4040.0,950000.0,3.0,238511.5
45,740000.0,3.0,2.5,3000.0,740000.0,2.5,185751.375
46,632925.0,3.0,2.5,2990.0,632925.0,2.5,158980.125
47,725000.0,4.0,2.5,2990.0,725000.0,2.5,181999.125
48,625000.0,5.0,2.5,2990.0,625000.0,2.5,156999.375
49,673000.0,4.0,2.5,2990.0,673000.0,2.5,168999.125
50,849950.0,3.0,3.0,2990.0,849950.0,3.0,213236.5
51,802541.0,5.0,2.75,2990.0,802541.0,2.75,201384.6875
52,560000.0,4.0,2.5,2940.0,560000.0,2.5,140736.625
